"name","date","dem"
"INS",1945-08-15,-5
"INS",1946-06-28,-5
"ITA",1945-04-27,0
"ITA",1947-12-29,0
"JPN",1945-09-02,0
"JPN",1952-04-26,0
"NOR",1945-05-07,10
"NOR",2012-12-28,10
"NTH",1945-05-02,10
"NTH",2012-12-28,10
"POL",1945-04-20,0
"POL",1947-12-19,0
"YUG",1945-11-28,-7
"YUG",1951-06-28,-7
"ALB",1946-01-10,-9
"ALB",1990-12-09,-9
"ARG",1946-02-23,0
"ARG",1948-12-03,0
"AUS",1946-06-27,10
"AUS",2012-12-28,10
"BRA",1946-09-17,7
"BRA",1947-04-29,7
"BUL",1946-09-14,-6
"BUL",1947-12-02,-6
"CHN",1946-12-24,-5
"CHN",1949-01-08,-5
"CZE",1946-05-25,5
"CZE",1948-02-23,5
"ETH",1946-06-29,-9
"ETH",1974-09-10,-9
"HAI",1946-01-10,0
"HAI",1946-08-13,0
"HAI",1946-08-14,4
"HAI",1950-05-08,4
"INS",1946-06-29,2
"INS",1948-06-28,2
"IRN",1946-03-01,4
"IRN",1953-08-17,4
"JOR",1946-05-23,-9
"JOR",1952-01-05,-9
"SYR",1946-04-15,4
"SYR",1949-03-28,4
"TUR",1946-01-07,7
"TUR",1954-01-25,7
"YAR",1946-06-29,0
"YAR",1948-02-15,0
"BRA",1947-04-30,5
"BRA",1958-06-28,5
"BUL",1947-12-03,-7
"BUL",1989-11-08,-7
"FRN",1947-01-14,8
"FRN",1958-05-29,8
"IND",1947-08-13,0
"IND",1947-08-12,0
"PAR",1947-07-27,-5
"PAR",1954-07-09,-5
"POL",1947-12-20,-7
"POL",1980-08-28,-7
"ROM",1947-12-29,-7
"ROM",1977-01-23,-7
"ARG",1948-12-04,-9
"ARG",1955-09-20,-9
"COL",1948-04-07,-5
"COL",1957-07-18,-5
"COS",1948-02-29,0
"COS",1948-04-21,0
"COS",1948-04-22,4
"COS",1949-11-05,4
